text,y,toxic_label
Go die in a hole.,1.3,1
You’re trash.,1.3,1
You’re trash.,1.1,1
I’m grateful for your help.,0.4,0
You make a positive impact.,0.3,0
I admire your dedication.,0.1,0
I admire your dedication.,0.1,0
"Nobody likes you, go away.",1.4,1
"Nobody likes you, go away.",1.1,1
"You're so dumb, just stop talking.",1.3,1
You’re such a loser.,1.1,1
You are the worst person I know.,1.0,1
You make a positive impact.,0.3,0
You're worthless.,1.5,1
I will ruin your life.,1.6,1
"You're so dumb, just stop talking.",1.3,1
You're doing a great job.,0.3,0
I admire your dedication.,0.1,0
You are the worst person I know.,1.8,1
You’re trash.,1.1,1
I appreciate your effort.,0.1,0
I’m grateful for your help.,0.2,0
I’m grateful for your help.,0.3,0
Keep up the good work!,0.3,0
Thank you for being supportive.,0.3,0
That was really kind of you.,0.0,0
You are very talented.,0.3,0
Keep up the good work!,0.1,0
Keep up the good work!,0.2,0
Thank you for being supportive.,0.0,0
You're doing a great job.,0.1,0
That’s an excellent idea!,0.2,0
You're doing a great job.,0.4,0
You make a positive impact.,0.2,0
"Nobody likes you, go away.",0.9,1
Keep up the good work!,0.3,0
You make a positive impact.,0.0,0
I’m grateful for your help.,0.3,0
You're worthless.,2.0,1
Keep up the good work!,0.3,0
Thank you for being supportive.,0.1,0
Go die in a hole.,0.8,1
You're a complete failure.,0.9,1
"Nobody likes you, go away.",1.2,1
You're a complete failure.,1.2,1
Thank you for being supportive.,0.3,0
"You're so dumb, just stop talking.",1.6,1
"Nobody likes you, go away.",1.9,1
You're a complete failure.,1.9,1
That’s an excellent idea!,0.2,0
Thank you for being supportive.,0.3,0
You're worthless.,1.6,1
Thank you for being supportive.,0.2,0
You’re trash.,1.9,1
That’s an excellent idea!,0.2,0
You make a positive impact.,0.1,0
That’s an excellent idea!,0.2,0
I’m grateful for your help.,0.0,0
I’m grateful for your help.,0.1,0
You’re trash.,1.0,1
Shut up and disappear.,1.6,1
I’m grateful for your help.,0.0,0
You're a complete failure.,1.1,1
Shut up and disappear.,1.3,1
You're doing a great job.,0.3,0
That’s an excellent idea!,0.2,0
You're doing a great job.,0.3,0
You are the worst person I know.,1.4,1
That’s an excellent idea!,0.4,0
That’s an excellent idea!,0.1,0
"Nobody likes you, go away.",1.4,1
I appreciate your effort.,0.1,0
I’m grateful for your help.,0.1,0
I’m grateful for your help.,0.3,0
You are very talented.,0.2,0
That was really kind of you.,0.4,0
I appreciate your effort.,0.0,0
You are the worst person I know.,1.1,1
You're doing a great job.,0.3,0
Thank you for being supportive.,0.3,0
Keep up the good work!,0.2,0
I’m grateful for your help.,0.4,0
That was really kind of you.,0.0,0
That’s an excellent idea!,0.4,0
I will ruin your life.,0.9,1
That was really kind of you.,0.2,0
Shut up and disappear.,1.4,1
You’re such a loser.,0.9,1
I’m grateful for your help.,0.1,0
That was really kind of you.,0.2,0
You’re such a loser.,1.4,1
"Nobody likes you, go away.",1.9,1
You are very talented.,0.3,0
I admire your dedication.,0.0,0
I appreciate your effort.,0.3,0
I appreciate your effort.,0.0,0
You're doing a great job.,0.1,0
Go die in a hole.,1.6,1
I appreciate your effort.,0.0,0
You are very talented.,0.2,0
Thank you for being supportive.,0.2,0
That’s an excellent idea!,0.0,0
Shut up and disappear.,0.9,1
Shut up and disappear.,1.8,1
You are the worst person I know.,1.2,1
I will ruin your life.,0.9,1
Keep up the good work!,0.3,0
You're worthless.,1.0,1
I’m grateful for your help.,0.3,0
You are very talented.,0.1,0
I admire your dedication.,0.1,0
"Nobody likes you, go away.",1.1,1
That’s an excellent idea!,0.1,0
Keep up the good work!,0.2,0
Keep up the good work!,0.4,0
You’re trash.,1.6,1
You are the worst person I know.,1.8,1
You're doing a great job.,0.2,0
I admire your dedication.,0.2,0
You’re trash.,1.5,1
You are very talented.,0.1,0
You are very talented.,0.1,0
You’re such a loser.,1.8,1
Shut up and disappear.,1.3,1
You make a positive impact.,0.1,0
Shut up and disappear.,1.7,1
You are the worst person I know.,1.8,1
I appreciate your effort.,0.4,0
You're doing a great job.,0.0,0
I admire your dedication.,0.4,0
Keep up the good work!,0.3,0
I will ruin your life.,1.1,1
You're worthless.,1.8,1
You are very talented.,0.2,0
That was really kind of you.,0.3,0
I appreciate your effort.,0.3,0
That was really kind of you.,0.2,0
I will ruin your life.,1.6,1
I will ruin your life.,1.9,1
That’s an excellent idea!,0.1,0
"Nobody likes you, go away.",1.3,1
Keep up the good work!,0.2,0
That’s an excellent idea!,0.3,0
You are the worst person I know.,1.2,1
You’re such a loser.,1.0,1
You're doing a great job.,0.4,0
That’s an excellent idea!,0.0,0
"You're so dumb, just stop talking.",0.9,1
Thank you for being supportive.,0.1,0
I appreciate your effort.,0.2,0
You make a positive impact.,0.1,0
You make a positive impact.,0.4,0
I will ruin your life.,1.9,1
You're a complete failure.,1.0,1
You’re such a loser.,1.5,1
That was really kind of you.,0.4,0
You’re such a loser.,1.7,1
I appreciate your effort.,0.1,0
You're worthless.,1.3,1
You're doing a great job.,0.1,0
"Nobody likes you, go away.",0.9,1
You're a complete failure.,1.6,1
You're worthless.,1.7,1
Thank you for being supportive.,0.1,0
Go die in a hole.,1.2,1
That was really kind of you.,0.1,0
You're worthless.,1.0,1
You're doing a great job.,0.3,0
That’s an excellent idea!,0.3,0
I admire your dedication.,0.3,0
Go die in a hole.,1.7,1
Go die in a hole.,1.8,1
You are very talented.,0.1,0
You are very talented.,0.2,0
You're worthless.,1.2,1
I appreciate your effort.,0.3,0
You are very talented.,0.1,0
You’re trash.,1.2,1
That’s an excellent idea!,0.0,0
"Nobody likes you, go away.",1.0,1
I appreciate your effort.,0.3,0
Keep up the good work!,0.3,0
That’s an excellent idea!,0.0,0
Shut up and disappear.,1.5,1
That was really kind of you.,0.1,0
Shut up and disappear.,0.9,1
You make a positive impact.,0.2,0
I’m grateful for your help.,0.2,0
Go die in a hole.,1.4,1
I admire your dedication.,0.2,0
I will ruin your life.,1.6,1
I admire your dedication.,0.4,0
I admire your dedication.,0.0,0
"Nobody likes you, go away.",1.8,1
You're worthless.,1.1,1
"Nobody likes you, go away.",1.8,1
You're doing a great job.,0.3,0
"Nobody likes you, go away.",1.7,1
Keep up the good work!,0.0,0
You’re trash.,1.3,1
Go die in a hole.,2.0,1
You make a positive impact.,0.2,0
I will ruin your life.,1.4,1
You’re trash.,1.8,1
I appreciate your effort.,0.3,0
Thank you for being supportive.,0.1,0
That’s an excellent idea!,0.1,0
Thank you for being supportive.,0.0,0
You make a positive impact.,0.4,0
"Nobody likes you, go away.",1.3,1
Keep up the good work!,0.3,0
I admire your dedication.,0.1,0
You make a positive impact.,0.2,0
Thank you for being supportive.,0.1,0
You are very talented.,0.4,0
Keep up the good work!,0.1,0
You're worthless.,2.0,1
You make a positive impact.,0.0,0
You are the worst person I know.,1.6,1
You're a complete failure.,1.0,1
"You're so dumb, just stop talking.",1.4,1
Shut up and disappear.,0.9,1
You're doing a great job.,0.1,0
You make a positive impact.,0.2,0
You're a complete failure.,1.7,1
I will ruin your life.,1.4,1
I appreciate your effort.,0.3,0
That was really kind of you.,0.1,0
Keep up the good work!,0.0,0
I appreciate your effort.,0.4,0
You're worthless.,1.3,1
You’re trash.,1.9,1
I will ruin your life.,1.5,1
Shut up and disappear.,1.6,1
"Nobody likes you, go away.",1.3,1
You’re trash.,1.0,1
You're worthless.,1.4,1
You’re such a loser.,1.1,1
You're a complete failure.,1.3,1
I appreciate your effort.,0.3,0
You're doing a great job.,0.2,0
I appreciate your effort.,0.1,0
I’m grateful for your help.,0.1,0
You make a positive impact.,0.1,0
You're a complete failure.,1.5,1
You're a complete failure.,1.8,1
You're doing a great job.,0.2,0
I appreciate your effort.,0.0,0
You're doing a great job.,0.3,0
Keep up the good work!,0.3,0
"You're so dumb, just stop talking.",1.3,1
You are very talented.,0.1,0
You're doing a great job.,0.1,0
Thank you for being supportive.,0.3,0
You're doing a great job.,0.0,0
Go die in a hole.,1.0,1
You are very talented.,0.3,0
That was really kind of you.,0.0,0
I’m grateful for your help.,0.2,0
That was really kind of you.,0.3,0
You're worthless.,1.2,1
"Nobody likes you, go away.",0.8,1
You’re such a loser.,2.0,1
Thank you for being supportive.,0.1,0
Thank you for being supportive.,0.2,0
You're a complete failure.,1.6,1
You're a complete failure.,1.6,1
Shut up and disappear.,0.9,1
You are the worst person I know.,0.9,1
You're worthless.,1.2,1
You're doing a great job.,0.4,0
Go die in a hole.,1.7,1
You're a complete failure.,1.4,1
Shut up and disappear.,1.5,1
I appreciate your effort.,0.3,0
Thank you for being supportive.,0.1,0
I appreciate your effort.,0.1,0
You're worthless.,1.6,1
I’m grateful for your help.,0.1,0
I admire your dedication.,0.1,0
That’s an excellent idea!,0.2,0
You are very talented.,0.2,0
I admire your dedication.,0.3,0
You’re trash.,1.6,1
Shut up and disappear.,1.2,1
That’s an excellent idea!,0.4,0
"Nobody likes you, go away.",1.6,1
You make a positive impact.,0.1,0
Thank you for being supportive.,0.0,0
You're a complete failure.,1.3,1
Go die in a hole.,1.9,1
Thank you for being supportive.,0.3,0
Shut up and disappear.,1.8,1
I admire your dedication.,0.3,0
You're a complete failure.,1.9,1
You’re such a loser.,1.0,1
That’s an excellent idea!,0.3,0
Go die in a hole.,1.2,1
Shut up and disappear.,1.2,1
That was really kind of you.,0.1,0
You're a complete failure.,1.1,1
You're worthless.,1.4,1
Shut up and disappear.,1.6,1
Keep up the good work!,0.2,0
Go die in a hole.,0.9,1
"Nobody likes you, go away.",1.0,1
You are the worst person I know.,1.9,1
You're a complete failure.,0.9,1
That was really kind of you.,0.1,0
That was really kind of you.,0.2,0
You are very talented.,0.0,0
"Nobody likes you, go away.",1.7,1
Go die in a hole.,1.2,1
You’re trash.,2.0,1
That was really kind of you.,0.4,0
You're a complete failure.,1.6,1
Shut up and disappear.,1.8,1
You are very talented.,0.1,0
I will ruin your life.,1.5,1
You are the worst person I know.,1.1,1
You’re such a loser.,1.3,1
I admire your dedication.,0.1,0
Keep up the good work!,0.0,0
Keep up the good work!,0.0,0
"You're so dumb, just stop talking.",1.6,1
You make a positive impact.,0.2,0
You're a complete failure.,0.9,1
I’m grateful for your help.,0.3,0
Go die in a hole.,1.1,1
Keep up the good work!,0.0,0
Shut up and disappear.,1.2,1
You make a positive impact.,0.2,0
That’s an excellent idea!,0.0,0
You're a complete failure.,1.6,1
Thank you for being supportive.,0.3,0
"You're so dumb, just stop talking.",2.0,1
You are the worst person I know.,0.9,1
Keep up the good work!,0.1,0
That was really kind of you.,0.3,0
You’re trash.,1.5,1
You're worthless.,2.0,1
That’s an excellent idea!,0.1,0
I appreciate your effort.,0.2,0
You make a positive impact.,0.0,0
I’m grateful for your help.,0.3,0
You’re trash.,1.9,1
That’s an excellent idea!,0.1,0
That’s an excellent idea!,0.4,0
"You're so dumb, just stop talking.",1.1,1
You're a complete failure.,1.5,1
Thank you for being supportive.,0.3,0
I will ruin your life.,1.8,1
You are the worst person I know.,2.0,1
Keep up the good work!,0.2,0
You’re such a loser.,0.9,1
Shut up and disappear.,1.3,1
Thank you for being supportive.,0.0,0
I will ruin your life.,1.4,1
You're a complete failure.,0.9,1
Shut up and disappear.,1.3,1
You’re such a loser.,2.0,1
I admire your dedication.,0.2,0
I’m grateful for your help.,0.0,0
Shut up and disappear.,1.0,1
You are very talented.,0.4,0
You're a complete failure.,0.9,1
That’s an excellent idea!,0.2,0
You’re such a loser.,0.9,1
I appreciate your effort.,0.0,0
I admire your dedication.,0.1,0
You are the worst person I know.,1.7,1
That’s an excellent idea!,0.3,0
"Nobody likes you, go away.",0.8,1
Go die in a hole.,1.1,1
You are very talented.,0.0,0
I will ruin your life.,1.0,1
I admire your dedication.,0.2,0
You’re such a loser.,1.4,1
You're a complete failure.,1.5,1
You are very talented.,0.1,0
That was really kind of you.,0.2,0
You're worthless.,0.9,1
You are the worst person I know.,1.9,1
Keep up the good work!,0.4,0
That was really kind of you.,0.2,0
You're doing a great job.,0.3,0
You make a positive impact.,0.4,0
You make a positive impact.,0.4,0
I’m grateful for your help.,0.1,0
I admire your dedication.,0.0,0
You’re trash.,1.8,1
You're a complete failure.,1.4,1
You are very talented.,0.1,0
"Nobody likes you, go away.",1.9,1
You make a positive impact.,0.1,0
You are the worst person I know.,1.8,1
You're a complete failure.,1.8,1
"You're so dumb, just stop talking.",1.4,1
Go die in a hole.,1.3,1
Go die in a hole.,2.0,1
You're a complete failure.,1.7,1
I will ruin your life.,1.1,1
You are very talented.,0.1,0
You make a positive impact.,0.1,0
I will ruin your life.,1.3,1
You're a complete failure.,0.8,1
You are the worst person I know.,1.0,1
You’re such a loser.,1.9,1
You're doing a great job.,0.1,0
You make a positive impact.,0.2,0
I will ruin your life.,1.2,1
Go die in a hole.,1.9,1
"Nobody likes you, go away.",1.5,1
You're worthless.,1.3,1
"Nobody likes you, go away.",1.9,1
You’re such a loser.,1.3,1
I admire your dedication.,0.1,0
Shut up and disappear.,1.3,1
You're a complete failure.,1.6,1
"You're so dumb, just stop talking.",0.8,1
You're a complete failure.,1.9,1
Thank you for being supportive.,0.4,0
You’re such a loser.,1.9,1
I appreciate your effort.,0.1,0
"You're so dumb, just stop talking.",1.9,1
You're worthless.,1.7,1
That’s an excellent idea!,0.3,0
I will ruin your life.,0.8,1
I appreciate your effort.,0.3,0
I’m grateful for your help.,0.2,0
You're doing a great job.,0.3,0
That was really kind of you.,0.2,0
I’m grateful for your help.,0.3,0
"Nobody likes you, go away.",0.9,1
Keep up the good work!,0.2,0
I appreciate your effort.,0.2,0
You're doing a great job.,0.1,0
Shut up and disappear.,1.2,1
You make a positive impact.,0.1,0
You’re trash.,2.0,1
You’re trash.,1.1,1
You're worthless.,1.1,1
You’re such a loser.,1.8,1
You're a complete failure.,1.2,1
I appreciate your effort.,0.3,0
You're worthless.,0.9,1
You make a positive impact.,0.1,0
Thank you for being supportive.,0.3,0
I’m grateful for your help.,0.2,0
"Nobody likes you, go away.",1.3,1
You are the worst person I know.,1.9,1
That’s an excellent idea!,0.1,0
I’m grateful for your help.,0.1,0
I will ruin your life.,1.0,1
Thank you for being supportive.,0.2,0
I’m grateful for your help.,0.2,0
You're a complete failure.,1.8,1
You're doing a great job.,0.0,0
"You're so dumb, just stop talking.",1.4,1
I appreciate your effort.,0.3,0
Go die in a hole.,1.5,1
You’re trash.,1.0,1
You're a complete failure.,1.6,1
Keep up the good work!,0.3,0
"Nobody likes you, go away.",1.6,1
You’re trash.,1.1,1
Shut up and disappear.,1.5,1
I will ruin your life.,1.6,1
You're a complete failure.,1.4,1
You're doing a great job.,0.1,0
You're doing a great job.,0.0,0
You’re such a loser.,1.9,1
I’m grateful for your help.,0.3,0
You are very talented.,0.1,0
You’re trash.,1.1,1
Thank you for being supportive.,0.2,0
I will ruin your life.,1.5,1
Shut up and disappear.,0.9,1
You're worthless.,1.9,1
Keep up the good work!,0.1,0
You’re such a loser.,1.3,1
"Nobody likes you, go away.",1.0,1
You're a complete failure.,0.9,1
I admire your dedication.,0.1,0
Thank you for being supportive.,0.3,0
Shut up and disappear.,1.8,1
Go die in a hole.,0.9,1
Keep up the good work!,0.2,0
That was really kind of you.,0.3,0
Thank you for being supportive.,0.4,0
That’s an excellent idea!,0.3,0
You make a positive impact.,0.0,0
You're worthless.,0.9,1
You are very talented.,0.1,0
You’re trash.,1.4,1
You are the worst person I know.,1.3,1
You are very talented.,0.0,0
Thank you for being supportive.,0.1,0
You’re trash.,1.7,1
You’re trash.,1.9,1
"You're so dumb, just stop talking.",1.6,1
I’m grateful for your help.,0.2,0
You're a complete failure.,1.0,1
You're doing a great job.,0.4,0
You are very talented.,0.3,0
You're worthless.,1.7,1
I admire your dedication.,0.1,0
You are the worst person I know.,1.9,1
You're a complete failure.,2.0,1
That was really kind of you.,0.2,0
That’s an excellent idea!,0.0,0
That’s an excellent idea!,0.3,0
You’re trash.,1.2,1
You’re such a loser.,1.3,1
Thank you for being supportive.,0.1,0
I will ruin your life.,1.8,1
Keep up the good work!,0.3,0
You are very talented.,0.4,0
Keep up the good work!,0.2,0
You’re such a loser.,1.1,1
You make a positive impact.,0.1,0
That was really kind of you.,0.1,0
You are the worst person I know.,1.8,1
Shut up and disappear.,1.4,1
That was really kind of you.,0.3,0
You’re trash.,0.9,1
Shut up and disappear.,1.0,1
That was really kind of you.,0.4,0
That’s an excellent idea!,0.1,0
I will ruin your life.,1.7,1
That’s an excellent idea!,0.1,0
You're doing a great job.,0.2,0
You’re such a loser.,1.9,1
You make a positive impact.,0.1,0
You're a complete failure.,1.1,1
I will ruin your life.,1.4,1
I appreciate your effort.,0.1,0
"You're so dumb, just stop talking.",1.8,1
Shut up and disappear.,1.9,1
That was really kind of you.,0.1,0
I admire your dedication.,0.3,0
I admire your dedication.,0.1,0
You’re trash.,1.2,1
You are very talented.,0.3,0
You're worthless.,1.0,1
I appreciate your effort.,0.3,0
You are the worst person I know.,1.8,1
I will ruin your life.,1.5,1
You’re trash.,1.4,1
You are the worst person I know.,1.7,1
You’re such a loser.,1.8,1
That was really kind of you.,0.2,0
That was really kind of you.,0.0,0
Shut up and disappear.,1.7,1
Go die in a hole.,1.4,1
I admire your dedication.,0.2,0
Go die in a hole.,1.4,1
You are very talented.,0.3,0
"Nobody likes you, go away.",1.3,1
That was really kind of you.,0.3,0
Shut up and disappear.,1.7,1
That’s an excellent idea!,0.2,0
That’s an excellent idea!,0.0,0
Thank you for being supportive.,0.1,0
You're doing a great job.,0.1,0
Keep up the good work!,0.1,0
You are very talented.,0.1,0
You’re such a loser.,1.8,1
I will ruin your life.,1.1,1
"You're so dumb, just stop talking.",1.3,1
Thank you for being supportive.,0.2,0
You are the worst person I know.,1.8,1
Go die in a hole.,1.2,1
I admire your dedication.,0.4,0
You're doing a great job.,0.4,0
Shut up and disappear.,1.8,1
You're a complete failure.,1.8,1
You're a complete failure.,0.8,1
You're doing a great job.,0.2,0
Thank you for being supportive.,0.3,0
"Nobody likes you, go away.",1.5,1
You are very talented.,0.1,0
Thank you for being supportive.,0.1,0
You're a complete failure.,0.8,1
You're worthless.,0.9,1
I will ruin your life.,1.5,1
Keep up the good work!,0.2,0
You’re trash.,1.7,1
That’s an excellent idea!,0.3,0
That was really kind of you.,0.1,0
Thank you for being supportive.,0.2,0
You are very talented.,0.0,0
I’m grateful for your help.,0.2,0
Shut up and disappear.,1.3,1
That’s an excellent idea!,0.4,0
You're worthless.,1.8,1
That was really kind of you.,0.4,0
"Nobody likes you, go away.",1.7,1
I admire your dedication.,0.1,0
Keep up the good work!,0.2,0
I’m grateful for your help.,0.1,0
I admire your dedication.,0.4,0
You're a complete failure.,0.8,1
Keep up the good work!,0.2,0
Thank you for being supportive.,0.0,0
Go die in a hole.,1.2,1
I will ruin your life.,0.9,1
You’re such a loser.,1.6,1
You're doing a great job.,0.2,0
I admire your dedication.,0.1,0
Go die in a hole.,1.6,1
I admire your dedication.,0.2,0
That was really kind of you.,0.0,0
You're doing a great job.,0.3,0
"Nobody likes you, go away.",1.2,1
"Nobody likes you, go away.",1.7,1
"You're so dumb, just stop talking.",1.6,1
You're doing a great job.,0.1,0
You are very talented.,0.2,0
Go die in a hole.,1.9,1
You're a complete failure.,1.6,1
You're worthless.,1.9,1
You’re such a loser.,0.9,1
You are the worst person I know.,1.4,1
"Nobody likes you, go away.",1.7,1
Shut up and disappear.,1.0,1
That was really kind of you.,0.4,0
Shut up and disappear.,1.2,1
You're doing a great job.,0.0,0
Shut up and disappear.,1.9,1
I’m grateful for your help.,0.2,0
You're worthless.,1.5,1
"You're so dumb, just stop talking.",2.0,1
Shut up and disappear.,1.4,1
Thank you for being supportive.,0.4,0
You're doing a great job.,0.3,0
Keep up the good work!,0.1,0
You’re trash.,0.9,1
Thank you for being supportive.,0.2,0
You are very talented.,0.3,0
"You're so dumb, just stop talking.",1.3,1
Go die in a hole.,1.2,1
Keep up the good work!,0.4,0
I admire your dedication.,0.2,0
Go die in a hole.,1.0,1
You're a complete failure.,1.0,1
You are the worst person I know.,0.8,1
You make a positive impact.,0.1,0
Go die in a hole.,1.9,1
You are the worst person I know.,0.8,1
Go die in a hole.,1.8,1
You are the worst person I know.,1.9,1
You're worthless.,1.7,1
I appreciate your effort.,0.2,0
You’re such a loser.,0.8,1
You're doing a great job.,0.2,0
"Nobody likes you, go away.",1.5,1
That was really kind of you.,0.1,0
Thank you for being supportive.,0.2,0
Keep up the good work!,0.1,0
You're worthless.,1.4,1
Go die in a hole.,1.0,1
Go die in a hole.,1.6,1
You’re trash.,1.6,1
You’re trash.,1.6,1
You're doing a great job.,0.3,0
I’m grateful for your help.,0.4,0
Thank you for being supportive.,0.1,0
Keep up the good work!,0.4,0
"You're so dumb, just stop talking.",1.5,1
I’m grateful for your help.,0.0,0
You're a complete failure.,1.1,1
"You're so dumb, just stop talking.",1.4,1
Shut up and disappear.,1.0,1
You're worthless.,0.9,1
That’s an excellent idea!,0.0,0
I will ruin your life.,0.9,1
I’m grateful for your help.,0.1,0
You're worthless.,1.0,1
You’re such a loser.,1.4,1
You're a complete failure.,1.0,1
That’s an excellent idea!,0.3,0
Go die in a hole.,1.6,1
That’s an excellent idea!,0.2,0
"Nobody likes you, go away.",2.0,1
I’m grateful for your help.,0.3,0
That was really kind of you.,0.3,0
You make a positive impact.,0.1,0
You’re trash.,2.0,1
Thank you for being supportive.,0.1,0
Shut up and disappear.,1.1,1
That’s an excellent idea!,0.4,0
You’re such a loser.,1.4,1
That was really kind of you.,0.0,0
You're doing a great job.,0.0,0
"You're so dumb, just stop talking.",1.2,1
Keep up the good work!,0.1,0
You're a complete failure.,1.9,1
Thank you for being supportive.,0.3,0
Go die in a hole.,1.7,1
You are the worst person I know.,1.3,1
That was really kind of you.,0.1,0
That’s an excellent idea!,0.3,0
I’m grateful for your help.,0.1,0
Thank you for being supportive.,0.1,0
Go die in a hole.,1.3,1
Shut up and disappear.,1.4,1
Go die in a hole.,0.9,1
You're a complete failure.,1.0,1
You're worthless.,1.9,1
"You're so dumb, just stop talking.",0.8,1
You are very talented.,0.3,0
I’m grateful for your help.,0.1,0
You are the worst person I know.,1.1,1
I’m grateful for your help.,0.1,0
You’re such a loser.,1.0,1
That was really kind of you.,0.2,0
You're doing a great job.,0.2,0
Keep up the good work!,0.3,0
You are the worst person I know.,1.0,1
"You're so dumb, just stop talking.",1.2,1
I admire your dedication.,0.0,0
"You're so dumb, just stop talking.",1.0,1
That was really kind of you.,0.0,0
"Nobody likes you, go away.",1.4,1
I’m grateful for your help.,0.1,0
You are very talented.,0.2,0
You're worthless.,1.2,1
You’re trash.,1.6,1
I will ruin your life.,1.5,1
You are the worst person I know.,1.6,1
You're a complete failure.,2.0,1
Shut up and disappear.,1.9,1
I will ruin your life.,2.0,1
Go die in a hole.,1.3,1
I appreciate your effort.,0.2,0
Go die in a hole.,1.0,1
"You're so dumb, just stop talking.",0.9,1
You are the worst person I know.,1.4,1
I’m grateful for your help.,0.1,0
You’re trash.,0.8,1
You're worthless.,2.0,1
You’re such a loser.,1.9,1
I will ruin your life.,1.8,1
"You're so dumb, just stop talking.",1.7,1
You're worthless.,1.7,1
You're doing a great job.,0.1,0
I admire your dedication.,0.4,0
I will ruin your life.,1.0,1
You’re such a loser.,1.0,1
You're doing a great job.,0.3,0
That’s an excellent idea!,0.2,0
"You're so dumb, just stop talking.",1.4,1
Keep up the good work!,0.2,0
I will ruin your life.,1.2,1
You’re trash.,1.5,1
"Nobody likes you, go away.",1.9,1
That was really kind of you.,0.3,0
You are very talented.,0.2,0
"Nobody likes you, go away.",1.7,1
Thank you for being supportive.,0.3,0
That was really kind of you.,0.0,0
That’s an excellent idea!,0.1,0
Keep up the good work!,0.3,0
You are very talented.,0.2,0
You're a complete failure.,1.4,1
You make a positive impact.,0.2,0
That was really kind of you.,0.0,0
Shut up and disappear.,1.8,1
I admire your dedication.,0.4,0
Keep up the good work!,0.1,0
"You're so dumb, just stop talking.",1.8,1
You're doing a great job.,0.0,0
You’re such a loser.,1.7,1
I will ruin your life.,1.6,1
You make a positive impact.,0.4,0
You’re such a loser.,1.7,1
You’re trash.,1.5,1
Keep up the good work!,0.3,0
"Nobody likes you, go away.",1.5,1
I’m grateful for your help.,0.1,0
"You're so dumb, just stop talking.",1.8,1
You are the worst person I know.,1.1,1
I admire your dedication.,0.2,0
That’s an excellent idea!,0.4,0
Go die in a hole.,1.2,1
You’re such a loser.,0.9,1
You're doing a great job.,0.2,0
Keep up the good work!,0.1,0
I’m grateful for your help.,0.2,0
Go die in a hole.,1.2,1
I appreciate your effort.,0.4,0
"Nobody likes you, go away.",1.2,1
You're worthless.,1.6,1
I will ruin your life.,1.6,1
Keep up the good work!,0.2,0
I will ruin your life.,1.2,1
You’re such a loser.,1.4,1
Go die in a hole.,1.1,1
You're worthless.,2.0,1
I will ruin your life.,1.8,1
That was really kind of you.,0.1,0
I appreciate your effort.,0.4,0
Shut up and disappear.,0.9,1
You're a complete failure.,1.7,1
Keep up the good work!,0.2,0
Shut up and disappear.,1.0,1
You’re such a loser.,1.5,1
Thank you for being supportive.,0.4,0
You are very talented.,0.1,0
"You're so dumb, just stop talking.",1.5,1
You're worthless.,2.0,1
"You're so dumb, just stop talking.",1.2,1
Go die in a hole.,0.8,1
I appreciate your effort.,0.2,0
You're a complete failure.,1.9,1
You're doing a great job.,0.0,0
That’s an excellent idea!,0.1,0
You're doing a great job.,0.1,0
You’re trash.,1.5,1
That was really kind of you.,0.0,0
You are the worst person I know.,1.9,1
You're a complete failure.,0.9,1
That was really kind of you.,0.1,0
I will ruin your life.,1.3,1
You’re such a loser.,0.9,1
Shut up and disappear.,1.2,1
That was really kind of you.,0.1,0
You're worthless.,2.0,1
You are very talented.,0.1,0
You're a complete failure.,0.8,1
You’re trash.,1.8,1
Go die in a hole.,2.0,1
That’s an excellent idea!,0.4,0
I appreciate your effort.,0.3,0
You’re such a loser.,1.8,1
You are the worst person I know.,1.7,1
That was really kind of you.,0.0,0
I’m grateful for your help.,0.1,0
I will ruin your life.,1.7,1
Go die in a hole.,1.0,1
"Nobody likes you, go away.",1.3,1
You're worthless.,1.3,1
You're a complete failure.,1.9,1
"You're so dumb, just stop talking.",1.4,1
You are the worst person I know.,2.0,1
I will ruin your life.,1.8,1
You're doing a great job.,0.2,0
You are the worst person I know.,1.2,1
You're doing a great job.,0.3,0
Shut up and disappear.,1.0,1
You're a complete failure.,1.1,1
Keep up the good work!,0.2,0
I will ruin your life.,1.7,1
You are very talented.,0.3,0
I’m grateful for your help.,0.4,0
Go die in a hole.,1.7,1
Go die in a hole.,1.4,1
You make a positive impact.,0.2,0
You are very talented.,0.3,0
That was really kind of you.,0.1,0
You are very talented.,0.3,0
Go die in a hole.,1.7,1
Keep up the good work!,0.3,0
You are the worst person I know.,2.0,1
You are very talented.,0.4,0
Thank you for being supportive.,0.1,0
Shut up and disappear.,2.0,1
I will ruin your life.,1.5,1
You are the worst person I know.,1.6,1
You’re trash.,1.4,1
That’s an excellent idea!,0.0,0
Keep up the good work!,0.4,0
Thank you for being supportive.,0.1,0
You're worthless.,0.9,1
I will ruin your life.,1.0,1
You make a positive impact.,0.1,0
You’re such a loser.,1.7,1
I’m grateful for your help.,0.1,0
Keep up the good work!,0.1,0
That was really kind of you.,0.1,0
You're a complete failure.,1.1,1
That was really kind of you.,0.1,0
You are the worst person I know.,1.8,1
I’m grateful for your help.,0.2,0
You are very talented.,0.2,0
You are very talented.,0.4,0
You're worthless.,0.9,1
You're worthless.,0.9,1
You’re such a loser.,1.7,1
You're a complete failure.,1.1,1
Go die in a hole.,2.0,1
I will ruin your life.,1.8,1
I will ruin your life.,1.1,1
You’re such a loser.,1.2,1
I admire your dedication.,0.0,0
That’s an excellent idea!,0.3,0
You’re trash.,1.4,1
